L_Come;L_Interlocut;Customer Account # / Cliente;Customer Name/Solic;Customer Name2;RUTA VENTA;City;Calle;LATITUT;LONGITUTD;FRECUENCIA
FSE;210369;11612240;COESTI SA;TOMAS MARSANO;ZBO;SANTIAGO DE SURCO;AV TOMAS MARSANO;-12.1390529;-76.9942706;JS
FSE;210371;11612241;COESTI SA;NAVAL;ZBO;SAN BORJA;AV SAN LUIS 2480;-12.0983337;-76.9952177;JS
FSE;210375;11612249;COESTI SA;RICARDO PALMA;ZBO;MIRAFLORES;AV ANDRES AVELINO CACERES 110;-12.1199702;-77.0237205;MXJVS
FSE;210375;11612250;COESTI SA;LA CALERA;ZBO;SURQUILLO;AV AVIACION 4524;-12.1199278;-76.9983882;LXV
FSE;210375;11612252;COESTI SA;AURORA;ZBO;MIRAFLORES;CA A.SCHEREIBER 124;-12.1225725;-77.0111343;MXJVS
FSE;210372;11631620;COESTI SA;LISTO ARENALES;ZBO;LIMA;JR EUGENIO LARABURRE Y UNANUE 126;-12.0695617;-77.0377047;X
FSE;204571;11634204;COESTI SA;MARINA 2;ZBO;SAN MIGUEL;AV LA MARINA 2913;-12.07695136;-77.09489868;MJ
FSE;210369;11637669;COESTI SA;E/S LISTO SURCO;ZBO;SANTIAGO DE SURCO;AV CIRCUNVALACION 377;-12.1310005;-76.977538;JS
FSE;210374;11640646;COESTI SA;MANUEL SEGURA;ZBO;LINCE;AV AREQUIPA 1513 URB. DEL FUNDO SAN;-12.07994;-77.03495;LXV
FSE;210371;11640647;COESTI SA;SAN BORJA;ZBO;SAN BORJA;AV AGUSTIN DE LA ROSA TORO 1312 URB;-12.08607;-76.99308;JS
FSE;205859;11641576;COESTI SA;PARIACHI;ZBO;ATE;PREDIO SEMI RUSTICO PARIACHI PARCE;-12.00604;-76.84666;LV
FSE;210371;11641577;COESTI SA;EL PINO;ZBO;SAN LUIS;AV CIRCUNVALACION MZ A LT 6-8;-12.0702;-76.99416;MX
FSE;204576;11646183;COESTI SA;SUCRE 2;ZBO;PUEBLO LIBRE;AV SUCRE 1115;-12.08238;-77.06676;J
FSE;210368;11646283;COESTI SA;E/S GERARDO UNGER;ZBO;LOS OLIVOS;AV GERARDO UNGER 3807;-11.9887265;-77.0573631;LJ
FSE;210371;11666275;COESTI SA;LISTO SANNA;ZBO;SAN BORJA;AV GUARDIA CIVIL 337;-12.0918813;-77.0083295;JS
FSE;210358;11684275;COESTI SA;LISTO U DE LIMA;ZBO;SANTIAGO DE SURCO;AV JAVIER PRADO ESTE 4600 URB FUNDO;-12.0847409;-76.9710481;JS
FSE;210371;11685033;COESTI SA;EL DERBY;ZBO;SANTIAGO DE SURCO;AV EL DERBY 118 URB EL DERBY DE MON;-12.0982335;-76.971526;JS
FSE;204571;11703516;COESTI SA;PRIMAX;ZBO;SAN MIGUEL;AV LA PAZ 1498 MIRAMAR;-12.0840746;-77.0963468;MJ
FSE;210358;11711559;COESTI SA;UDLIMA 2;ZBO;SANTIAGO DE SURCO;AV JAVIER PRADO ESTE 4600 SURCO (TO;-12.0849888;-76.9696244;JS
FSE;210350;11717678;COESTI SA;LISTO CAYETANO HEREDIA;ZBO;SAN MARTIN DE PORRES;AV HONORIO DELGADO 430;-12.0237877;-77.0559941;LJ
FSE;210352;11724369;COESTI SA;LISTO CIENTIFICA DEL NORTE;ZBO;LOS OLIVOS;MZ A LT 1 URB PUERTAS DE INFANTA F;-11.9456219;-77.0719756;LJ
FSE;204571;11730004;COESTI SA;LISTO ICPNA SAN MIGUEL;ZBO;SAN MIGUEL;AV LA MARINA 2469;-12.0782989;-77.0888862;MJ
FSE;210369;11730005;COESTI SA;LISTO ICPNA SURCO;ZBO;SANTIAGO DE SURCO;CA DOMINGO TRISTAN MZ A2 1 URB. LOS;-12.1525073;-76.9880943;JS
FSE;204576;11732436;COESTI SA;LISTO UPN BREÑA;ZBO;LIMA;AV TINGO MARIA 1172;-12.0583436;-77.058478;X
FSE;210351;11734734;COESTI SA;LISTO UPN LOS OLIVOS;ZBO;LOS OLIVOS;AV ALFREDO MENDIOLA 6060-6062 MZ C;-11.9591783;-77.0679492;LJ
FSE;210371;11736326;COESTI SA;LISTO CRUZ DEL ZUR;ZBO;LA VICTORIA;AV JAVIER PRADO 1109;-12.0892455;-77.0169957;X
FSE;210363;11739160;COESTI SA;CESAR VALLEJA SJL;ZBO;SAN JUAN DE LURIGANCHO;AV DEL PARQUE 640;-11.9811011;-77.0003076;LJ
FSE;204565;11743214;COESTI SA;UNI CESAR VALLEJA LOS OLIVOS;ZBO;LOS OLIVOS;AV ALFREDO MENDIOLA 6232;-11.9552131;-77.0685581;LJ
FSE;210370;11743727;COESTI SA;UNI CESAR VALLEJO ATE;ZBO;ATE;AV NICOLAS AYLLON LT 120-73 SUB LOT;-12.0238655;-76.9092555;LV
FSE;210368;11746131;COESTI SA;AEROPUERTO 2;ZBO;CALLAO;AV NESTOR GAMBETA 1570  1ER PISO;-12.0293869;-77.1165008;MJ
FSE;210370;11748447;COESTI SA;PRIMAX;ZBO;SANTA ANITA;JR LAS CALANDRIAS 151  INT UNIV SAN;-12.0444395;-76.9675762;LV
FSE;210371;11752979;COESTI SA;PRIMAX;ZBO;SAN ISIDRO;AV JOSE GALVEZ BARRENECHEA 520;-12.0972993;-77.012915;LXV
FSE;210368;11760427;COESTI SA;COESTI;ZBO;CALLAO;AV NESTOR GAMBETA 1570 2DO NIVEL;-12.0336452;-77.1153686;MJ
FSE;211506;6340069;DELOSI SA;KFC RANSA;KF2;CALLAO;AV ARGENTINA 2951 A481;-12.04957;-77.11566;MJ
FSE;210372;6340071;CLUB NACIONAL;;ASA;LIMA;JR CAMANA 917;-12.051695;-77.036592;X
FSE;210371;6340091;GRUPO ONCE SAC;PRIMAVERA;KG3;SANTIAGO DE SURCO;AV PROL PRIMAVERA 1803;-12.10599;-76.96851;JS
FSE;205356;6340094;INMOBILIARIA DE TURISMO SA;HOTEL EL OLIVAR;ASA;SAN ISIDRO;PANCHO FIERRO 194;-12.0978877;-77.0354891;LXV
FSE;210375;6340107;FRANQUICIAS ALIMENTARIAS SA;FRIDAYS;KF2;MIRAFLORES;AV SANTA CRUZ 824 OVALO GUTIERR;-12.1107917;-77.037478;MXJVS
FSE;210371;6340113;CINEMARK DEL PERU SAC;JOCKEY PLAZA;ZBO;SANTIAGO DE SURCO;AV JAVIER PRADO ESTE 4200;-12.0851996;-76.9772661;JS
FSE;210375;6340127;PROMOTORA MIRAFLORES SAC;INSTITUTO LE CORDON BLEU;WA4;MIRAFLORES;AV VASCO NUÑEZ DE BALBOA 530;-12.1312823;-77.0256295;MXJVS
FSE;210371;6340160;LONGHORN GRILL SAC;LONG HORN;ZBE;SANTIAGO DE SURCO;C.C.JOCKEY PLAZA;-12.08508;-76.9771;JS
FSE;210375;6340177;CINCO MILLAS SAC;CEBICHERIA LA MAR;WA4;MIRAFLORES;MARISCAL LA MAR 770 ESQUINA 08 DE O;-12.11332;-77.04758;MXJVS
FSE;210374;6340332;MAMBRINO SAC;SAN ISIDRO;WA4;SAN ISIDRO;AV DOS DE MAYO 715;-12.0915236;-77.0389811;LXV
FSE;210375;6340333;MAMBRINO SAC;BODEGA;WA4;MIRAFLORES;AV ARMENDARIZ 299;-12.13329;-77.02969;MXJVS
FSE;210369;6340334;MAMBRINO SAC;BODEGA;WA4;SANTIAGO DE SURCO;AV PRIMAVERA 712 RES CHACARILLA;-12.1111085;-76.9856639;JS
FSE;210375;6340335;MAMBRINO SAC;TALLER;WA4;MIRAFLORES;MANUEL BONILLA 181;-12.11985;-77.02937;MXJVS
FSE;210371;6340461;CHAMACO SA;HELADERIA SARCLETTI;KG3;SAN BORJA;CA MORELLI 239;-12.090488;-77.0038086;JS
FSE;210371;6340470;FRANQUICIAS ALIMENTARIAS SA;FRIDAYS;KF2;SANTIAGO DE SURCO;AV JAVIER PRADO ESTE 4200 CLUB;-12.085234;-76.977251;JS
FSE;210375;6340471;FRANQUICIAS ALIMENTARIAS SA;FRIDAYS;KF2;MIRAFLORES;AV MALECON DE LA RESERVA 610 I;-12.13182;-77.03298;MXJVS
FSE;204571;6340473;FRANQUICIAS ALIMENTARIAS SA;FRIDAYS;KF2;SAN MIGUEL;AV LA MARINA 2355 INT R-01;-12.07867;-77.09201;MJ
FSE;210375;6340475;SERVICIOS COMERCIALES Y TURIST;KIRICO;WA4;MIRAFLORES;CA LIMA 491;-12.12227;-77.0324;MXJVS
FSE;210375;6340489;GAMING AND SERVICES SAC;CASINO MAJESTIC;ASA;MIRAFLORES;MLC DE LA RESERVA 615;-12.13126;-77.03188;MXJVS
FSE;204570;6340502;CINEMARK DEL PERU SAC;BELLAVISTA;ZBO;BELLAVISTA;AV.OSCAR R. BENAVIDES 3866;-12.05530321;-77.10352456;JS
FSE;210368;6340505;CINEMARK DEL PERU SAC;MEGA PLAZA;ZBO;INDEPENDENCIA;CA ALFREDO MENDIOLA 3698;-11.993365;-77.0611448;MV
FSE;204571;6340506;CINEMARK DEL PERU SAC;SAN MIGUEL;ZBO;LIMA;AV LA MARINA CDRA 25 SAN MIGUEL;-12.07648;-77.09082;X
FSE;210375;6340542;BRADE PARACAS SA;HILTON PARACAS;ASA;MIRAFLORES;AV JOSE PARDO 420;-12.11917;-77.03531;MXJVS
FSE;210372;6340638;RINCON CERVECERO SA;;WA4;LIMA;JR DE LA UNION 1049;-12.052921;-77.035752;X
FSE;210375;6340689;PCS PERU SAC;BARLETTO CAFFE;WA4;MIRAFLORES;JR  ENRIQUE PALACIOS 201;-12.11698;-77.03022;MXJVS
FSE;211739;6340692;PASTIPAN SAC;PASTIPAN;KG3;SAN LUIS;AV MARISCAL ELOY URETA 191;-12.067357;-76.9922751;MX
FSE;204576;6340733;REPSOL COMERCIAL SAC;UNIVERSITARIA 2;ZBO;LIMA;CA MATERIALES 150-154;-12.04262;-77.08008;X
FSE;210375;6340735;REPSOL COMERCIAL SAC;LUREN;ZBO;MIRAFLORES;AV ALFREDO BENAVIDES 2849;-12.128093;-77.0056138;MXJVS
FSE;210369;6340736;REPSOL COMERCIAL SAC;PRECURSORES;ZBO;SANTIAGO DE SURCO;PROLONG PRIMAVERA 1120  VALLE HERM;-12.11056;-76.98204;JS
FSE;210371;6340738;REPSOL COMERCIAL SAC;EL DERBY 1;ZBO;SANTIAGO DE SURCO;AV EL DERBY 109 ESQ C/AV EL POL;-12.09867;-76.97207;JS
FSE;210371;6340739;REPSOL COMERCIAL SAC;ANGAMOS;ZBO;SAN BORJA;AV. PRIMAVERA 1095 SAN BORJA;-12.1100273;-76.9799332;JS
FSE;210371;6340740;REPSOL COMERCIAL SAC;LEBAR;ZBO;LA VICTORIA;AV. NICOLAS ARRIOLA ESQ. JAVIER PRA;-12.09007;-77.01843;X
FSE;210375;6340742;REPSOL COMERCIAL SAC;PRINCIPAL;ZBO;SURQUILLO;AV JOSE  GALVEZ BARRENECHEA A 4 CD;-12.1078238;-77.0106592;LXV
FSE;210359;6340744;REPSOL COMERCIAL SAC;SAIMON;ZBO;LA MOLINA;AV RAUL FERRERO 1313 URB SIRIUS I;-12.08996;-76.95041;XS
FSE;210375;6340746;REPSOL COMERCIAL SAC;ROSEDAL;ZBO;MIRAFLORES;REP DE PANAMA 6491 SAN ANTONIO MIRA;-12.13023;-77.02002;MXJVS
FSE;210375;6340747;REPSOL COMERCIAL SAC;REDUCTO;ZBO;MIRAFLORES;AV 28 DE JULIO ESQ AV. EL REDUCTO;-12.12964;-77.02555;MXJVS
FSE;210371;6340748;REPSOL COMERCIAL SAC;EL PARQUE;ZBO;SAN ISIDRO;AV GUARDIA CIVIL 1090;-12.1026467;-77.0149242;LXV
FSE;210371;6340752;REPSOL COMERCIAL SAC;TIKI;ZBO;SAN ISIDRO;AV JOSE GALVEZ 520;-12.09732552;-77.0129892;LXV
FSE;210375;6340760;NESSUS HOTELES PERU SA;CASA ANDINA;ASA;MIRAFLORES;AV LA PAZ 463 MIRAFLORES OESTE;-12.12212;-77.02895;MXJVS
FSE;205356;6340797;CINCO MILLAS SAC;;WA4;SAN ISIDRO;CAL.PANCHO FIERRO NRO. 117 URB. EL;-12.0969735;-77.0352409;LXV
FSE;210375;6340798;CINCO MILLAS SAC;;WA4;MIRAFLORES;AV VASCO NUÑEZ DE BALBOA 660;-12.13123;-77.02851;MXJVS
FSE;210369;6340800;CINCO MILLAS SAC;;WA4;SANTIAGO DE SURCO;PROLONG. PRIMAVERA 698 - CHACA;-12.1111238;-76.9860252;JS
FSE;210369;6340801;CINCO MILLAS SAC;;WA4;SANTIAGO DE SURCO;PLONG PRIMAVERA 698 - CHACA;-12.11115;-76.98823;JS
FSE;210372;6341083;HOTELES SHERATON DEL PERU SAC;HOTEL SHERATON;ASA;LIMA;AV PASEO DE LA REPUBLICA 170;-12.0573056;-77.0368103;X
FSE;210374;6341092;BELGRAVIA SA;BELGRAVIA;KG3;LINCE;AV ARENALES 2304;-12.0873;-77.0376;LXV
FSE;210375;6341097;HAITI MIRAFLORES SA;HAITI;KG3;MIRAFLORES;AV DIAGONAL 160;-12.11981;-77.0318;MXJVS
FSE;210375;6341099;LA TIENDECITA BLANCA SA;LA TIENDECITA BLANCA;KG3;MIRAFLORES;AV JOSE LARCO 111;-12.1194364;-77.0287311;MXJVS
FSE;210375;6341105;CAMUENTE SA;LA ROMANA;KG3;SURQUILLO;AV REPUBLICA DE PANAMA 4929;-12.11436;-77.02043;LXV
FSE;204570;6341112;LA FLOR DE LA PUNTA SRL;;KG3;LA PUNTA;JR GARCIA Y GARCIA 378;-12.070484;-77.161963;M
FSE;205356;6341121;BAGUETERIA DON MARIO SAC;DON MARIO;KG3;MAGDALENA DEL MAR;AV DEL EJERCITO 1324;-12.1026654;-77.0588071;MV
FSE;210375;6341126;CATALUÑA SAC;MANOLO;KG3;MIRAFLORES;AV ARCO 608;-12.12301;-77.03146;MXJVS
FSE;210375;6341128;MIRAFLORES DE TURISMO SAC;HOTEL SAN AGUSTIN;ASA;MIRAFLORES;CA SAN MARTIN 550;-12.12638;-77.02887;MXJVS
FSE;210375;6341179;PRODUCCIONES ALIMENTARIAS SRLT;LA SUPER RUEDA;WA4;MIRAFLORES;AV JOSE PARDO 1224;-12.1188225;-77.0413929;MXJVS
FSE;210372;6341186;EL PASO SAC;RESTAURANT MANHATTAN;ZAY;LIMA;JR SANTA ROSA 253;-12.048929;-77.0315902;X
FSE;210374;6341200;MASTER FOOD SA;;WA4;LINCE;AV JOSE DE LA TORRE UGARTE 140;-12.0893273;-77.0344726;LXV
FSE;205356;6341218;TURISMO LOS ALGARROBOS SA;TURISMO LOS ALGARROB;ASA;LIMA;AV JORGE BASADRE 325;-12.0947;-77.0357;X
FSE;205356;6341225;CORPORACION EL GOLF SA;LOS DELFINES;ASA;SAN ISIDRO;CA LOS EUCALIPTOS 555;-12.0980651;-77.0477426;LXV
FSE;205356;6341239;LIMA GOLF CLUB;LIMA GOLF CLUB;ZCE;SAN ISIDRO;AV CAMINO REAL 770;-12.1021359;-77.0386639;LXV
FSE;210371;6341250;ASOCIACION DE LOS TESTIGOS DE;;ZBQ;SANTIAGO DE SURCO;AV EL CORTIJO 329 APARTADO 18-1055;-12.09709;-76.97021;JS
FSE;210375;6341266;PRODUCTOS Y SERVICIOS VLADY SA;TORTAS VLADY;KG3;MIRAFLORES;JR JUNIN 494;-12.11384;-77.03454;MXJVS
FSE;210372;6341290;TEGUISE TURISTICA PERU SA;HOTEL RIVIERA SAN AGUSTIN;ASA;LIMA;AV GARCILAZO DE LA VEGA 981;-12.0517905;-77.0384959;X
FSE;210375;6341302;CORPORACION TURISTICA PERUANA;;ASA;MIRAFLORES;AV BENAVIDES 430;-12.12472;-77.03094;MXJVS
FSE;210371;6341304;NEGOCIACIONES CARMELA SAC;PUNTA SAL;WA4;SAN ISIDRO;AV CANAVAL Y MOREYRA 611;-12.0974721;-77.0179612;LXV
FSE;210375;6341316;INVERSIONES DON QUIJOTE SAC;CROWNE PLAZA;ASA;MIRAFLORES;AV ALFREDO BENAVIDES 300;-12.1246;-77.03225;MXJVS
FSE;205356;6341320;HOTELERA COSTA DEL PACIFICO SA;SWISSOTEL;ASA;SAN ISIDRO;AV SANTO TORIBIO 173 VIA CENTRAL;-12.0975962;-77.0384952;LXV
FSE;210371;6341327;FIGTUR SA;PRINCE HOTEL;ASA;SAN BORJA;AV GUARDIA CIVIL 727;-12.0972452;-77.0113567;JS
FSE;210375;6341329;INVERSIONES BRADE SA;HOTEL DOUBLETREE;ASA;MIRAFLORES;CA INDEPENDENCIA 141;-12.11841;-77.03492;MXJVS
FSE;210371;6341331;YANAYACO PERU SRLTD;YANAYACO;KG3;SAN BORJA;AV SAN LUIS 2105;-12.09149;-76.99795;JS
FSE;210375;6341351;BELMOND PERU SA;BELMOND MIRAFLORES;ASA;MIRAFLORES;CA LAS ACACIAS 171;-12.13443;-77.02854;MXJVS
FSE;210375;6341353;INVERSIONES LA RIOJA SAC;MARRIOTT;ASA;MIRAFLORES;MALECON DE LA RESERVA 601;-12.13123;-77.03246;MXJVS
FSE;210371;6341356;DOUCE FRANCE SA;DELIFRANCEVIS03;KG3;SANTIAGO DE SURCO;AV LA ENCALADA 980;-12.10641;-76.97123;JS
FSE;210368;6341359;GATE GOURMET PERU SRL;GATE GOURMET;ZBO;CALLAO;AV ELMER FAUCETT S/N;-12.01544;-77.11356;MJ
FSE;210374;6341385;CORPORACION HOTELERA METOR SA;HOTEL MELIA LIMA;ASA;SAN ISIDRO;AV SALAVERRY 2599;-12.093112;-77.052865;LXV
FSE;210371;6341388;SAN ANTONIO DE CHACARILLA SAC;SAN ANTONIO;KG3;SAN BORJA;AV PRIMAVERA 373;-12.11104;-76.99195;JS
FSE;210371;6341418;INVERSIONES SEIS SAC;PIZZERIA BOTTICHELLI;WA4;SAN BORJA;AV AVIACION 2490 2DO PISO;-12.09054;-77.00561;JS
FSE;210372;6341432;ESBARI SAC;CAFE- RESTAURANT - HELADERIA;WA4;LIMA;JR DE LA UNION 574;-12.0477741;-77.0326351;X
FSE;210375;6341508;EMSETUR COLON SAC;HOTEL COLON;ASA;MIRAFLORES;JR COLON 600 - 620;-12.12926;-77.03178;MXJVS
FSE;210375;6341516;BRIDGET SAC;RAFAEL RESTAURANT;ZBE;MIRAFLORES;CA OCHARAN 250;-12.12528;-77.03145;MXJVS
FSE;210375;6341523;BORGONO SAC;BORGONO -MIRAFLORES;WA4;MIRAFLORES;CA GENERAL BORGOÑO 784;-12.11186;-77.03534;MXJVS
FSE;210371;6341617;TRATTORIA PIZZERIA EL ITALIANO;TRATTORIA PIZZERIA E;ZAY;LA VICTORIA;CA ENRIQUE LEON GARCIA 376 U;-12.084973;-77.022123;X
FSE;210375;6341687;LA ESQUINA DE SAN ANTONIO SAC;SAN ANTONIO;KG3;MIRAFLORES;AV. VASCO NUÑEZ DE BALBOA 770;-12.12966;-77.02613;MXJVS
FSE;210375;6341688;SAN ANTONIO DE ANGAMOS SAC;;KG3;MIRAFLORES;AV ANGAMOS OESTE 1494;-12.1108898;-77.0429794;MXJVS
FSE;210375;6341690;BAGUETERIA PASTELERIA Y BODEGA;D´THOMAS;KG3;MIRAFLORES;CA MANUEL SEGURA 108;-12.11978;-77.04459;MXJVS
FSE;210374;6341722;CORPORACION BAGUETERA SAC;SAN ANTONIO;KG3;JESUS MARIA;CA LUIS SANCHEZ CERRO 2128;-12.08203;-77.05094;XS
FSE;210371;6341727;TAORMINA SAC;;WA4;SAN BORJA;AV. PRIMAVERA 275 URB. CHACARILLA D;-12.11079;-76.99297;JS
FSE;210371;6341737;ALIMENTOS BEBIDAS Y AFINES SAC;CEBICHERIA PUNTA SAL;WA4;SAN ISIDRO;AV CANAVAL Y MOREYRA 611;-12.0974721;-77.0179612;LXV
FSE;210375;6341751;PASTIFICIO CLASSICO SAC;IL PASTIFICIO;ZBO;MIRAFLORES;AV REPUBLICA DE PANAMA 5646;-12.11992;-77.02062;MXJVS
FSE;205356;6341765;LH FOOD SAC;LONG HORN;ZBE;LIMA;AV LOS LIBERTADORES 300;-12.10102;-77.03964;X
FSE;210371;6341770;PROYECTO SEIS SA;LAS 4 ESTACIONES;WA4;SAN BORJA;AV AVIACION 2490 2DO PISO;-12.09054;-77.00561;JS
FSE;210368;6341774;SURGOURMET SAC;RETAIL;KG3;CALLAO;AEROPUERTO JORGE CHAVEZ;-12.0242584;-77.1120529;MJ
FSE;210374;6341787;BON LIMA SAC;LA BOMBONNIERE;KG3;SAN ISIDRO;CA ROMA 228 A URB SAN FELIPE;-12.0910159;-77.0510235;LXV
FSE;210374;6341793;ANTICA PIZZERIA ITALIANA SAC;ANTICA;WA4;SAN ISIDRO;AV DOS DE MAYO 732;-12.0913257;-77.0391445;LXV
FSE;210374;6341804;INVERSIONES MERLOT SAC;BACU BACA;ZBE;SAN ISIDRO;AV 2 DE MAYO 798;-12.0912923;-77.0396855;LXV
FSE;204571;6341807;LA CROSSARIOLE SAC;;KG3;SAN MIGUEL;AV RAFAEL ESCARDO 711 URB MARA;-12.0739937;-77.0922538;MJ
FSE;205356;6341834;PUERTO MADERO SAC;LA BISTECCA;WA4;SAN ISIDRO;AV CONQUISTADORES 1048;-12.1065957;-77.0374328;LXV
FSE;210375;6341853;ALIMENTOS SAN CHARBEL SAC;4D;KG3;MIRAFLORES;AV DEL EJERCITO 430 URB STA.CRUZ;-12.11655;-77.0474;MXJVS
FSE;210371;6341860;BONDI SA;EL AJI SECO;WA4;SAN BORJA;AV AVIACION 2490 2DO PISO;-12.09054;-77.00561;JS
FSE;210375;6341867;JORDAN & JORDAN INVERSIONES SA;LAS CANASTAS;ZAY;MIRAFLORES;AV ANGAMOS OESTE 599 ESQUINA;-12.114;-77.03675;MXJVS
FSE;205356;6341875;ADMINISTRADORA LC SAC;;ZBE;SAN ISIDRO;AV RICARDO RIVERA NAVARRETE 740 UR;-12.0946;-77.02675;LXV
FSE;205356;6341892;SOCIEDAD DE DESARROLLO DE HOTE;NOVOTEL;ASA;SAN ISIDRO;AV VICTOR ANDRES BELAUNDE 198;-12.0960052;-77.036572;LXV
FSE;204571;6341927;LH SAN MIGUEL SAC;LONG HORN;ZBE;SAN MIGUEL;CC PLAZA SAN MIGUEL 2;-12.07694;-77.08499;MJ
FSE;210375;6341933;ANTICUCHOS DEL PERU SAC;PANCHITA;WA4;MIRAFLORES;AV CORONEL INCLAN 248;-12.11793;-77.03352;MXJVS
FSE;204571;6341984;ADROGUE SAC;NORKY'S;KF2;SAN MIGUEL;LA MARINA 2645 MARANGA;-12.07808;-77.09195;MJ
FSE;210374;6342018;CAFETERIA LUCHOS SAC;CAFETERIA LUCHOS;ZAY;LINCE;JR RISSO 336;-12.085561;-77.032957;LXV
FSE;210371;6342022;ALTADIS SA;LAS 4 ESTACIONES;WA4;SAN BORJA;AV AVIACION 2490 2DO PISO;-12.09054;-77.00561;JS
FSE;210371;6342034;SERVICIOS DE ALIMENTOS BRITANI;HOTEL BRITANIA DE SAN BORJA;ASA;SAN BORJA;AV SAN BORJA SUR 651;-12.10048;-77.00021;JS
FSE;210369;6342038;CAFEINA PERU SAC;LA FOLIE;KG3;SANTIAGO DE SURCO;AV PRIMAVERA 1070 URB VALLE H;-12.1106987;-76.9801039;JS
FSE;210372;6342149;SASH SA;;KG3;LIMA;AV INCA GARCILAZO DE LA VEGA 1337 INT 2014;-12.056685;-77.0373422;X
FSE;210374;6342156;INVERSIONES LIMA ARENALES SAC;INVERSIONES LIMA ARENALES;WA4;LINCE;AV ARENALES 1489;-12.079684;-77.036249;LXV
FSE;;6342156;INVERSIONES LIMA ARENALES SAC;INVERSIONES LIMA ARENALES;WA4;LINCE;AV ARENALES 1489;-12.079684;-77.036249;LXV
FSE;210371;6343221;YARA KIYAN VICTOR RAUL;FRANQUICIA- ROKYS;KF2;SAN BORJA;AV CANADA 3296 URB EL JACARANDA;-12.0818767;-76.9959213;JS
FSE;210371;6343810;CENTRO NAVAL DEL PERU;CENTRO NAVAL DEL PERU;ZAY;LIMA;ESQ JOAQ.RODRIG/BEEETHOV SAN BO;-12.09725;-77.00033;X
FSE;210375;6343886;SACUTO SAC;;KG3;MIRAFLORES;AV SANTA CRUZ 982;-12.113;-77.04131;MXJVS
FSE;210369;6344288;LE REVE SAC;LA BASILICA;ZBQ;SANTIAGO DE SURCO;AV PRIMAVERA 640 RES CHACARIL;-12.11124;-76.98678;JS
FSE;210375;6344427;INVERSIONES Y NEGOCIOS SHAK SA;EL BUEN GUSTO;KG3;MIRAFLORES;CA TORRE TAGLE 245;-12.11763;-77.03877;MXJVS
FSE;210368;6344466;SASH SA;;KG3;INDEPENDENCIA;AV. ALFREDO MENDIOLA N 1400 INT.CA-;-11.9882899;-77.0648631;MV
FSE;210375;6344501;CINEMARK DEL PERU SAC;OPEN PLAZA ANGAMOS;ZBO;SURQUILLO;AV ANGAMOS 1803;-12.1118;-77.01476;LXV
FSE;210375;6344514;CAPRICCIO MIRAFLORES SAC;CAPRICCIO;KG3;MIRAFLORES;AV 2 DE MAYO 694;-12.11805;-77.03602;MXJVS
FSE;210371;6344733;CINCO MILLAS SAC;;WA4;SANTIAGO DE SURCO;AV.JAVIER PRADO ESTE NRO. 4200 LOCA;-12.08571;-76.97926;JS
FSE;210371;6344790;MAMBRINO SAC;BOULEVARD CC JOCKEY P;WA4;SANTIAGO DE SURCO;AV JAVIER PRADO ESTE 4200 INT-15;-12.08632;-76.97909;JS
FSE;210375;6344794;GOLDEN GAMING SA;CASINO LA HACIENDA;ASA;MIRAFLORES;AV 28 DE JULIO  524;-12.12682;-77.03154;MXJVS
FSE;204571;6344845;REPSOL COMERCIAL SAC;MARINA;ZBO;SAN MIGUEL;AV.LA MARINA 2530;-12.08106;-77.08603;MJ
FSE;210375;6344846;REPSOL COMERCIAL SAC;LAS TIENDAS;ZBO;SURQUILLO;AV.ANDRES ARAMBURU 904-912;-12.104;-77.02444;LXV
FSE;210375;6344864;REPSOL COMERCIAL SAC;MIRAFLORES;ZBO;MIRAFLORES;AV REPUBLICA DE PANAMA 5690 Y ROCA;-12.12013;-77.0204;MXJVS
FSE;210369;6344904;INMOBILIARIA MM Y R SAC;;WA4;SANTIAGO DE SURCO;CA CRISTOBAL DE PERALTA 395;-12.11417219;-76.97735346;JS
FSE;210375;6345161;LA ROSA NAUTICA SA;LA ROSA NAUTICA;ZBE;MIRAFLORES;COSTA VERDE ESPIGON 04;-12.130659;-77.0355647;MXJVS
FSE;205356;6345325;INVERSIONES NACIONALES DE TURI;WESTIN;ASA;SAN ISIDRO;CA AMADOR MEDINA REYNA S/N;-12.0920642;-77.0250995;LXV
FSE;205859;6345326;GRUPO ONCE SAC;HUACHIPA;KG3;ATE;CA LAS ACACIAS 176;-12.01318;-76.91183;LV
FSE;210371;6345371;PUERTO MADERO SAC;LA BISTECCA;WA4;SAN BORJA;AV PRIMAVERA 543;-12.11058;-76.98993;JS
FSE;210374;6345385;VILLA INVEST SAC;VILLA CHICKEN;ZCE;LINCE;AV.RIVERA NAVARRETE 2833;-12.09077;-77.02918;LXV
FSE;205356;6345447;POMPANO INVESTMENTS SAC;;WA4;SAN ISIDRO;AV IGNACIO MERINO 185;-12.0981664;-77.0360403;LXV
FSE;210368;6345469;RED MEAT SAC;LONG HORN;ZBE;INDEPENDENCIA;AV ALFREDO MENDIOLA 3698 INT R;-11.9938487;-77.0617956;MV
FSE;210371;6345563;CAFETERIAS RIPA SA;SARCLETTI;KG3;SANTIAGO DE SURCO;AV.LA ENCALADA NRO. 1737 POLO HUNT;-12.10018;-76.9719;JS
FSE;204571;6345572;CINCO MILLAS SAC;;WA4;SAN MIGUEL;CC PLAZA SAN MIGUEL TIENDA 256;-12.07643;-77.08501;MJ
